               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022521,            0.015808,            0.060657,             0.37332,             0.45355,             0.39009,             0.27576,            0.013581,           0.0057649,            0.035201,           0.0087971,           0.0087971,           0.0087971
                  36,            0.022573,            0.015643,            0.060724,              0.3724,             0.45257,             0.39556,              0.2804,            0.013493,            0.005746,            0.034816,           0.0087286,           0.0087286,           0.0087286
                  37,            0.022643,            0.015574,            0.060487,             0.39452,             0.46182,              0.4086,               0.291,            0.013466,           0.0057083,            0.034044,           0.0086584,           0.0086584,           0.0086584
                  38,            0.022622,            0.015524,            0.060104,             0.39555,              0.4716,             0.41773,             0.29663,             0.01339,           0.0056785,            0.033727,           0.0085866,           0.0085866,           0.0085866
                  39,            0.022383,            0.015511,            0.059457,             0.40807,             0.48081,             0.42927,             0.30672,            0.013323,           0.0056811,            0.032998,           0.0085133,           0.0085133,           0.0085133
                  40,            0.022446,            0.015516,             0.05879,             0.41576,             0.49033,              0.4411,             0.31499,            0.013197,           0.0056603,            0.032324,           0.0084385,           0.0084385,           0.0084385
                  41,            0.022564,            0.015494,            0.059436,             0.42219,             0.49171,             0.44911,             0.32246,            0.013188,           0.0056418,            0.031996,           0.0083622,           0.0083622,           0.0083622
                  42,            0.022155,            0.015364,            0.057861,             0.44084,              0.4961,             0.46274,             0.33416,            0.012992,           0.0055907,            0.031429,           0.0082844,           0.0082844,           0.0082844
                  43,            0.021987,            0.015395,             0.05747,             0.44677,             0.49739,             0.46989,             0.33912,            0.012982,           0.0055687,            0.030973,           0.0082052,           0.0082052,           0.0082052
                  44,            0.021891,            0.015429,            0.057536,             0.44558,             0.51241,             0.47867,             0.34557,            0.012863,           0.0055434,            0.030461,           0.0081247,           0.0081247,           0.0081247
                  45,            0.022081,            0.015238,            0.057137,              0.4603,             0.51348,             0.48933,             0.35344,            0.012833,           0.0055558,            0.029982,           0.0080428,           0.0080428,           0.0080428
                  46,            0.022294,            0.015357,            0.057211,             0.46137,             0.51922,             0.49417,             0.35962,            0.012827,           0.0055176,            0.029559,           0.0079595,           0.0079595,           0.0079595
                  47,            0.022223,            0.015229,            0.056344,             0.46548,             0.51991,              0.5008,              0.3637,            0.012757,           0.0055221,            0.029163,            0.007875,            0.007875,            0.007875
                  48,            0.022002,            0.015233,             0.05576,             0.47427,             0.53056,             0.51333,             0.37382,            0.012688,           0.0054825,            0.028717,           0.0077893,           0.0077893,           0.0077893
                  49,            0.022404,            0.015231,            0.056073,             0.48193,             0.54055,             0.52127,             0.38021,            0.012629,           0.0054767,            0.028371,           0.0077023,           0.0077023,           0.0077023
                  50,            0.021917,            0.015346,            0.055456,             0.48947,             0.54652,             0.53054,             0.38769,            0.012609,           0.0054524,            0.027898,           0.0076142,           0.0076142,           0.0076142
                  51,            0.021881,             0.01532,            0.055338,             0.49798,             0.55236,             0.53962,              0.3946,             0.01257,           0.0054407,            0.027516,            0.007525,            0.007525,            0.007525
                  52,            0.022134,            0.015158,            0.055042,             0.50361,             0.56001,             0.54723,             0.40261,             0.01249,           0.0054083,            0.027116,           0.0074347,           0.0074347,           0.0074347
                  53,            0.022403,            0.015291,            0.055183,             0.50769,             0.55827,             0.55208,             0.40626,            0.012437,           0.0053826,             0.02682,           0.0073433,           0.0073433,           0.0073433
                  54,            0.021824,            0.015173,            0.054679,             0.51313,             0.56916,             0.55773,             0.41073,            0.012461,           0.0053846,            0.026511,           0.0072509,           0.0072509,           0.0072509
                  55,            0.021825,            0.015086,            0.053781,             0.51678,             0.56706,             0.56394,              0.4153,            0.012358,           0.0053743,            0.026151,           0.0071576,           0.0071576,           0.0071576
                  56,            0.022084,            0.015286,            0.053998,             0.53385,             0.56494,             0.57072,             0.42102,            0.012289,           0.0053657,            0.025843,           0.0070633,           0.0070633,           0.0070633
                  57,            0.021754,            0.014901,            0.053228,             0.53754,             0.57628,             0.58083,             0.42953,            0.012262,           0.0053439,            0.025419,           0.0069682,           0.0069682,           0.0069682
                  58,            0.021354,            0.014999,            0.052549,             0.54842,             0.57603,             0.58502,             0.43357,            0.012235,           0.0053175,            0.025137,           0.0068722,           0.0068722,           0.0068722
                  59,             0.02163,            0.014942,            0.052671,              0.5452,             0.58593,              0.5913,             0.43875,            0.012153,           0.0053002,            0.024858,           0.0067754,           0.0067754,           0.0067754
                  60,            0.021634,            0.014918,            0.053199,             0.54625,             0.59014,             0.59744,             0.44421,            0.012101,           0.0052818,            0.024569,           0.0066779,           0.0066779,           0.0066779
                  61,            0.021456,            0.014968,            0.051871,             0.54987,             0.59828,             0.60533,             0.45011,            0.012071,           0.0052711,             0.02426,           0.0065796,           0.0065796,           0.0065796
                  62,            0.021739,            0.014943,            0.052506,             0.55732,             0.59744,             0.60924,             0.45449,            0.012042,           0.0052565,            0.024013,           0.0064807,           0.0064807,           0.0064807
                  63,            0.021344,            0.014799,            0.051676,             0.56731,             0.59469,             0.61348,             0.45706,             0.01198,           0.0052373,            0.023788,           0.0063812,           0.0063812,           0.0063812
                  64,            0.021659,            0.014913,            0.051982,             0.57058,             0.59293,             0.61748,             0.46097,            0.011925,           0.0052256,            0.023517,            0.006281,            0.006281,            0.006281
                  65,            0.021016,            0.014716,            0.050773,             0.57284,              0.5985,             0.62127,             0.46401,            0.011881,           0.0052202,            0.023308,           0.0061803,           0.0061803,           0.0061803
                  66,            0.021731,            0.014827,            0.051613,              0.5744,             0.60513,             0.62588,             0.46857,            0.011856,           0.0052096,            0.023089,           0.0060792,           0.0060792,           0.0060792
                  67,             0.02157,            0.014763,            0.051017,             0.57496,             0.61717,             0.63236,             0.47472,            0.011834,           0.0051961,            0.022818,           0.0059775,           0.0059775,           0.0059775
                  68,            0.021388,            0.014821,            0.050703,             0.58327,             0.61885,             0.63783,             0.47874,            0.011806,           0.0051835,            0.022578,           0.0058755,           0.0058755,           0.0058755
                  69,            0.021632,            0.014769,            0.051348,              0.5854,             0.62111,             0.64188,             0.48185,            0.011794,           0.0051764,            0.022398,           0.0057731,           0.0057731,           0.0057731
                  70,            0.021193,            0.014859,            0.050312,             0.59104,             0.61989,             0.64515,             0.48474,            0.011789,           0.0051682,            0.022226,           0.0056704,           0.0056704,           0.0056704
                  71,            0.021261,            0.014765,            0.050153,             0.59693,             0.62113,             0.64815,             0.48736,            0.011779,           0.0051548,            0.022047,           0.0055674,           0.0055674,           0.0055674
                  72,            0.021385,            0.014698,            0.049755,              0.6026,             0.62304,             0.65297,             0.49169,            0.011764,           0.0051465,            0.021811,           0.0054642,           0.0054642,           0.0054642
                  73,            0.020702,            0.014612,            0.049255,             0.60649,             0.62405,             0.65741,             0.49558,            0.011757,           0.0051376,            0.021616,           0.0053608,           0.0053608,           0.0053608
                  74,             0.02122,            0.014743,            0.048956,             0.61034,             0.62593,             0.66109,             0.49928,            0.011732,           0.0051312,            0.021417,           0.0052573,           0.0052573,           0.0052573
                  75,            0.020734,             0.01441,            0.048774,             0.61413,             0.62721,               0.665,              0.5025,            0.011712,           0.0051209,            0.021221,           0.0051537,           0.0051537,           0.0051537
                  76,            0.020717,            0.014516,            0.048318,             0.61722,             0.62821,             0.66916,             0.50606,            0.011682,           0.0051126,            0.021026,             0.00505,             0.00505,             0.00505
                  77,            0.021122,            0.014594,            0.048302,             0.61697,             0.63549,             0.67273,             0.50929,            0.011664,            0.005106,            0.020842,           0.0049463,           0.0049463,           0.0049463
                  78,            0.020694,            0.014566,            0.047674,              0.6173,             0.63905,              0.6764,             0.51248,            0.011645,           0.0050968,            0.020643,           0.0048427,           0.0048427,           0.0048427
                  79,            0.020743,            0.014491,            0.047434,             0.61798,             0.64414,             0.68032,             0.51578,            0.011628,           0.0050866,            0.020455,           0.0047392,           0.0047392,           0.0047392
                  80,             0.02079,            0.014523,            0.047468,             0.61772,              0.6504,             0.68347,             0.51886,            0.011608,           0.0050771,            0.020286,           0.0046358,           0.0046358,           0.0046358
                  81,            0.020305,             0.01447,            0.046984,             0.62091,             0.65134,             0.68661,             0.52198,            0.011587,           0.0050687,            0.020121,           0.0045326,           0.0045326,           0.0045326
                  82,            0.020133,            0.014413,            0.046825,             0.62605,             0.64956,             0.68975,             0.52503,             0.01156,           0.0050589,            0.019957,           0.0044296,           0.0044296,           0.0044296
                  83,            0.020246,            0.014303,            0.046155,             0.62852,             0.65219,              0.6923,             0.52716,            0.011534,           0.0050504,            0.019804,           0.0043269,           0.0043269,           0.0043269
                  84,            0.020751,            0.014324,            0.047026,             0.62892,             0.65717,             0.69485,             0.52959,            0.011521,           0.0050422,            0.019663,           0.0042245,           0.0042245,           0.0042245
                  85,            0.020098,            0.014257,            0.046027,             0.63575,             0.65543,             0.69768,             0.53217,            0.011505,           0.0050359,            0.019519,           0.0041225,           0.0041225,           0.0041225
                  86,            0.020274,            0.014374,             0.04638,             0.64011,             0.65596,             0.70021,              0.5346,            0.011481,           0.0050295,            0.019388,           0.0040208,           0.0040208,           0.0040208
                  87,             0.02015,            0.014277,            0.045696,             0.64047,             0.65858,             0.70251,             0.53673,            0.011462,           0.0050239,            0.019269,           0.0039197,           0.0039197,           0.0039197
                  88,            0.020196,            0.014243,            0.045339,             0.64339,             0.66281,             0.70447,             0.53869,            0.011441,            0.005019,            0.019151,            0.003819,            0.003819,            0.003819
                  89,            0.019893,            0.014379,            0.045291,              0.6487,             0.66183,             0.70672,             0.54055,            0.011423,           0.0050137,            0.019023,           0.0037188,           0.0037188,           0.0037188
                  90,            0.020088,            0.014238,             0.04483,             0.65196,             0.66372,             0.70915,             0.54219,            0.011408,           0.0050091,            0.018897,           0.0036193,           0.0036193,           0.0036193
