               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024906,            0.014701,            0.062562,             0.53771,             0.55642,             0.57068,              0.4114,            0.013736,           0.0053107,            0.032797,           0.0087971,           0.0087971,           0.0087971
                  36,            0.024325,             0.01458,            0.062613,             0.54158,             0.56927,             0.57815,              0.4182,            0.013669,           0.0052912,            0.032271,           0.0087286,           0.0087286,           0.0087286
                  37,             0.02498,            0.014473,            0.062855,             0.55117,             0.56627,             0.58962,             0.42842,            0.013711,           0.0052919,            0.031734,           0.0086584,           0.0086584,           0.0086584
                  38,            0.024512,            0.014448,            0.061112,             0.56892,             0.57523,             0.60196,             0.43769,            0.013496,           0.0052852,            0.030978,           0.0085866,           0.0085866,           0.0085866
                  39,            0.024671,            0.014419,            0.060781,             0.57503,             0.58588,             0.61549,              0.4483,            0.013504,           0.0052527,            0.030552,           0.0085133,           0.0085133,           0.0085133
                  40,            0.024607,            0.014478,             0.06084,             0.58087,              0.5997,             0.62687,             0.45703,            0.013535,            0.005257,            0.029836,           0.0084385,           0.0084385,           0.0084385
                  41,            0.024637,            0.014473,            0.061326,              0.5887,             0.60742,             0.63599,             0.46368,            0.013407,            0.005237,            0.029261,           0.0083622,           0.0083622,           0.0083622
                  42,            0.024464,            0.014387,            0.058935,             0.59558,              0.6136,             0.64282,             0.47069,            0.013382,           0.0052209,              0.0287,           0.0082844,           0.0082844,           0.0082844
                  43,            0.024809,            0.014371,             0.05935,              0.6052,             0.61433,               0.652,              0.4777,            0.013413,           0.0052145,            0.028158,           0.0082052,           0.0082052,           0.0082052
                  44,            0.024297,            0.014442,            0.058918,             0.61848,             0.62593,             0.66425,             0.48705,            0.013303,           0.0051831,            0.027584,           0.0081247,           0.0081247,           0.0081247
                  45,            0.024388,            0.014278,            0.058404,             0.61547,             0.63654,             0.67223,             0.49295,            0.013215,            0.005189,            0.027089,           0.0080428,           0.0080428,           0.0080428
                  46,            0.024732,            0.014391,            0.058484,             0.62782,             0.64236,             0.68006,             0.49921,            0.013219,           0.0051722,            0.026562,           0.0079595,           0.0079595,           0.0079595
                  47,            0.024582,            0.014319,            0.057562,             0.63354,             0.65128,             0.68927,              0.5075,            0.013295,           0.0051534,            0.026083,            0.007875,            0.007875,            0.007875
                  48,            0.024409,            0.014312,            0.057743,             0.64302,             0.65132,             0.69614,             0.51535,            0.013249,           0.0051362,            0.025754,           0.0077893,           0.0077893,           0.0077893
                  49,            0.025178,            0.014286,            0.057415,              0.6483,             0.65391,             0.70379,             0.52017,            0.013281,           0.0051376,            0.025442,           0.0077023,           0.0077023,           0.0077023
                  50,             0.02449,            0.014459,            0.056882,             0.65947,             0.65083,             0.71088,             0.52522,            0.013174,           0.0051223,            0.025001,           0.0076142,           0.0076142,           0.0076142
                  51,            0.024673,            0.014386,            0.057583,              0.6658,             0.66588,             0.71803,             0.53047,            0.013113,           0.0051182,            0.024543,            0.007525,            0.007525,            0.007525
                  52,            0.024556,            0.014234,            0.056051,             0.67257,             0.66779,             0.72545,             0.53739,            0.013062,           0.0050959,             0.02407,           0.0074347,           0.0074347,           0.0074347
                  53,            0.025167,            0.014316,            0.057141,             0.67494,             0.67658,             0.73239,             0.54338,            0.012945,           0.0050932,             0.02364,           0.0073433,           0.0073433,           0.0073433
                  54,            0.024403,            0.014226,            0.056051,             0.68012,             0.68664,             0.73975,             0.54959,            0.012924,           0.0050833,            0.023356,           0.0072509,           0.0072509,           0.0072509
