               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022328,            0.012771,            0.057345,             0.56982,             0.56102,             0.59477,             0.48975,            0.010827,            0.004099,            0.027717,           0.0087971,           0.0087971,           0.0087971
                  36,            0.021811,            0.012741,            0.057468,             0.56804,             0.57074,              0.5984,              0.4923,            0.010841,           0.0040816,             0.02733,           0.0087286,           0.0087286,           0.0087286
                  37,            0.022056,            0.012658,            0.057505,              0.5898,              0.5657,             0.61205,             0.50382,            0.010595,           0.0040759,             0.02678,           0.0086584,           0.0086584,           0.0086584
                  38,            0.021584,             0.01263,            0.056155,             0.59762,             0.57811,             0.62089,             0.51292,            0.010719,           0.0040731,            0.026198,           0.0085866,           0.0085866,           0.0085866
                  39,            0.021645,            0.012556,            0.055516,             0.59758,             0.59048,             0.63384,             0.52444,            0.010376,           0.0040458,            0.025665,           0.0085133,           0.0085133,           0.0085133
                  40,            0.021748,            0.012641,             0.05522,             0.61214,             0.59063,             0.63821,             0.52785,            0.010476,           0.0040378,            0.025283,           0.0084385,           0.0084385,           0.0084385
                  41,            0.022215,            0.012625,            0.056155,             0.60964,             0.60436,             0.64541,             0.53501,            0.010501,           0.0040282,            0.024986,           0.0083622,           0.0083622,           0.0083622
                  42,            0.022038,            0.012537,            0.053764,             0.63131,             0.59977,             0.65562,             0.54346,            0.010423,           0.0040188,            0.024534,           0.0082844,           0.0082844,           0.0082844
                  43,            0.022103,            0.012518,            0.054092,             0.63363,              0.6099,              0.6631,              0.5505,            0.010294,           0.0040026,            0.023783,           0.0082052,           0.0082052,           0.0082052
                  44,            0.021588,            0.012577,            0.053897,             0.63463,              0.6099,             0.67202,             0.55909,            0.010312,           0.0039933,            0.023303,           0.0081247,           0.0081247,           0.0081247
                  45,            0.021472,            0.012454,            0.053485,             0.64793,             0.61204,             0.68029,             0.56707,            0.010234,           0.0039771,            0.023015,           0.0080428,           0.0080428,           0.0080428
                  46,            0.021908,            0.012529,              0.0541,             0.65294,             0.61287,             0.68336,             0.56957,            0.010222,           0.0039693,            0.022716,           0.0079595,           0.0079595,           0.0079595
                  47,            0.021615,            0.012485,            0.052298,             0.64524,             0.63645,             0.69193,             0.57682,            0.010161,            0.003952,            0.022191,            0.007875,            0.007875,            0.007875
                  48,            0.021614,            0.012509,            0.052677,             0.66336,             0.62902,             0.69829,             0.58409,            0.010188,           0.0039432,            0.021796,           0.0077893,           0.0077893,           0.0077893
                  49,            0.022372,            0.012535,            0.052824,             0.66947,              0.6374,             0.70678,             0.59175,            0.010103,           0.0039458,             0.02152,           0.0077023,           0.0077023,           0.0077023
                  50,            0.021917,            0.012594,            0.051594,             0.67703,             0.64303,              0.7159,             0.59915,            0.010114,           0.0039408,            0.020977,           0.0076142,           0.0076142,           0.0076142
                  51,             0.02194,            0.012531,            0.052543,             0.69117,             0.64923,             0.72396,             0.60641,           0.0099502,            0.003915,            0.020743,            0.007525,            0.007525,            0.007525
                  52,            0.021828,            0.012423,            0.051215,             0.68797,             0.65483,             0.72821,             0.61093,           0.0099344,           0.0039037,            0.020346,           0.0074347,           0.0074347,           0.0074347
                  53,            0.022997,            0.012501,            0.052424,             0.69565,             0.65569,             0.73305,             0.61572,           0.0098504,           0.0038916,             0.01993,           0.0073433,           0.0073433,           0.0073433
                  54,            0.021805,            0.012405,            0.050974,             0.69725,             0.66597,             0.74066,             0.62309,           0.0098661,           0.0038836,            0.019467,           0.0072509,           0.0072509,           0.0072509
                  55,            0.021654,            0.012399,            0.049817,              0.7044,             0.66812,             0.74622,             0.62712,           0.0097824,           0.0038779,            0.019273,           0.0071576,           0.0071576,           0.0071576
                  56,            0.022338,            0.012521,            0.049915,             0.71102,             0.66886,             0.75121,             0.63227,           0.0097544,            0.003871,            0.018998,           0.0070633,           0.0070633,           0.0070633
                  57,            0.021417,            0.012278,             0.04954,             0.71304,             0.67973,             0.75741,             0.63782,           0.0096699,           0.0038621,            0.018705,           0.0069682,           0.0069682,           0.0069682
                  58,            0.021216,            0.012339,            0.049095,             0.72118,             0.68383,             0.76343,             0.64358,           0.0097324,           0.0038449,            0.018404,           0.0068722,           0.0068722,           0.0068722
                  59,            0.022094,            0.012291,            0.049075,             0.72202,             0.68916,             0.76853,             0.64814,           0.0096695,            0.003834,            0.018088,           0.0067754,           0.0067754,           0.0067754
                  60,             0.02165,            0.012347,            0.049981,             0.72383,               0.692,             0.77255,             0.65224,           0.0095959,           0.0038278,            0.017813,           0.0066779,           0.0066779,           0.0066779
                  61,            0.021303,            0.012268,            0.047658,              0.7324,             0.69538,             0.77862,              0.6573,             0.00956,           0.0038183,            0.017521,           0.0065796,           0.0065796,           0.0065796
                  62,            0.021812,            0.012326,            0.048135,              0.7344,             0.70482,             0.78352,             0.66284,           0.0094967,           0.0038081,            0.017292,           0.0064807,           0.0064807,           0.0064807
                  63,            0.021175,            0.012234,            0.047791,             0.74253,             0.70492,             0.78855,             0.66771,           0.0094651,           0.0038006,            0.017002,           0.0063812,           0.0063812,           0.0063812
                  64,            0.022314,            0.012414,            0.048211,             0.74354,             0.70975,             0.79299,             0.67138,           0.0094422,           0.0037937,            0.016749,            0.006281,            0.006281,            0.006281
                  65,            0.020903,            0.012177,            0.046806,             0.74687,             0.71313,             0.79693,             0.67552,           0.0094244,           0.0037849,            0.016474,           0.0061803,           0.0061803,           0.0061803
                  66,            0.021653,            0.012174,            0.048774,             0.74922,             0.71742,              0.8005,             0.67909,            0.009413,           0.0037783,            0.016237,           0.0060792,           0.0060792,           0.0060792
                  67,            0.021148,            0.012178,            0.047133,             0.75183,             0.72452,             0.80493,             0.68304,           0.0093918,           0.0037722,            0.015985,           0.0059775,           0.0059775,           0.0059775
                  68,            0.021139,            0.012197,            0.046933,             0.75357,             0.72631,             0.80887,             0.68697,           0.0093982,           0.0037619,            0.015782,           0.0058755,           0.0058755,           0.0058755
